#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Presupuesto V. 001 - 2025
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,6000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,3000
04,CONSEJO CONSULTIVO,0401,CONSEJO CONSULTIVO,04010000,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,9000
04,CONSEJO CONSULTIVO,0401,CONSEJO CONSULTIVO,04010000,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,3000
06,DEUDA PÚBLICA,0601,DEUDA PÚBLICA,06010000,DEUDA PÚBLICA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,I/39900,,,190000
06,DEUDA PÚBLICA,0601,DEUDA PÚBLICA,06010000,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,91,PRÉSTAMOS EN MONEDA NACIONAL,911,Préstamos recibidos a largo plazo,91101,Préstamos recibidos a l/p de entes dentro s.p.,I/91101,,,2041085610
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",31,PRESTACIÓN DE SERVICIOS Y PRECIOS PÚBLICOS,310,Tarifas de publicidad,31000,Tarifas de publicidad,I/31000,,,10000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,329,Otras tasas,32900,Otras tasas,I/32900,,,1000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,380,De ejercicios cerrados,38000,De ejercicios cerrados,I/38000,,,10000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,381,De presupuesto corriente,38100,De presupuesto corriente,I/38100,,,15000
