#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,G. Función,Des. G. Función,i,j,Programa,Des. Programa,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Proyecto,Des. Proyecto,Presupuesto 2025
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,02010000,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111A,ACTIVIDAD LEGISLATIVA,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,480,A familias e instituciones sin fin de lucro,48000,A familias e instituciones sin fin de lucro,G/111A/48000,,,JCCM/0000000541,PRESUPUESTO CORTES DE CASTILLA-LA MANCHA,13415000
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,02010000,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111A,ACTIVIDAD LEGISLATIVA,7,TRANSFERENCIAS DE CAPITAL,78,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,780,A familias e instituciones sin fin de lucro,78000,A familias e instituciones sin fin de lucro,G/111A/78000,,,JCCM/0000000541,PRESUPUESTO CORTES DE CASTILLA-LA MANCHA,50000
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,02010000,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111D,CONSEJO REGIONAL DE TRANSP Y BUEN GOBIERNO DE C-LM,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,480,A familias e instituciones sin fin de lucro,48000,A familias e instituciones sin fin de lucro,G/111D/48000,,,JCCM/0000024341,PRESUPUESTO CONSEJO REGIONAL DE TRANSPAR,765000
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,02010000,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111D,CONSEJO REGIONAL DE TRANSP Y BUEN GOBIERNO DE C-LM,7,TRANSFERENCIAS DE CAPITAL,78,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,780,A familias e instituciones sin fin de lucro,78000,A familias e instituciones sin fin de lucro,G/111D/78000,,,JCCM/0000024341,PRESUPUESTO CONSEJO REGIONAL DE TRANSPAR,41000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,10,ALTOS CARGOS,100,Retribuc básicas y otras remunerac altos cargos,10000,Retribuciones básicas,G/111B/10000,,,,,485100
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retribuc básicas y otras remunerac pers eventual,11000,Retribuciones básicas,G/111B/11000,,,,,28280
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retribuc básicas y otras remunerac pers eventual,11001,Otras remuneraciones,G/111B/11001,,,,,87400
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12000,Sueldos del Grupo A1 y Grupo A,G/111B/12000,,,,,216000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12001,Sueldos del Grupo A2 y Grupo B,G/111B/12001,,,,,174110
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12002,Sueldos del Grupo C1 y Grupo C,G/111B/12002,,,,,36370
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12008,Antigüedad,G/111B/12008,,,,,238050
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),121,Retribuciones complementarias,12100,Complemento de destino,G/111B/12100,,,,,294850
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),121,Retribuciones complementarias,12101,Complementos específicos,G/111B/12101,,,,,514090
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,13,LABORALES (EXCEPTO DE INSTITUCIONES SANITARIAS),130,Retribuciones básicas del personal laboral,13004,Sueldos del grupo V,G/111B/13004,,,,,19460
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,13,LABORALES (EXCEPTO DE INSTITUCIONES SANITARIAS),131,Retribuciones complementarias del personal laboral,13101,Complementos específicos,G/111B/13101,,,,,4490
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,1,GASTOS DE PERSONAL,16,"CUOTAS, PRESTAC Y GASTOS SOC A CARGO DEL EMPLEADOR",160,Cuotas sociales,16000,Seguridad Social,G/111B/16000,,,,,308830
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",212,Edificios y otras construcciones,21200,Edificios y otras construcciones,G/111B/21200,,,,,27000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",213,"Maquinaria, instalaciones y utillaje",21300,"Maquinaria, instalaciones y utillaje",G/111B/21300,,,,,600
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",214,Elementos de transporte,21400,Elementos de transporte,G/111B/21400,,,,,4000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",215,Mobiliario y enseres,21500,Mobiliario y enseres,G/111B/21500,,,,,900
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",216,Equipos para procesos de información,21600,Equipos para procesos de información,G/111B/21600,,,,,2000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",220,Material de oficina,22000,Ordinario no inventariable,G/111B/22000,,,,,4000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",220,Material de oficina,22001,"Prensa, revistas, libros y otras publicaciones",G/111B/22001,,,,,1200
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",220,Material de oficina,22002,Material informático no inventariable,G/111B/22002,,,,,22000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22100,Energía eléctrica,G/111B/22100,,,,,25000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22103,Combustible,G/111B/22103,,,,,15000
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22109,Otros suministros,G/111B/22109,,,,,1500
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,03010000,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,,,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",222,Comunicaciones,22200,Telefónicas,G/111B/22200,,,,,60000
