#Sección,b,Dirección General,d,Grupo de Función,f,Función,h,Programa,j,Capítulo,l,Artículo,n,Concepto,p,Subconcepto,r,Obligado
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111A,ACTIVIDAD LEGISLATIVA,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INST. SFL,480,A familias e instit sfl,48000,A familias e instit sfl,6707500
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111A,ACTIVIDAD LEGISLATIVA,7,TRANSFERENCIAS DE CAPITAL,78,A FAMILIAS E INSTIT. SFL,780,A familias e instit sfl,78000,A familias e instit sfl,25000
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111D,CONSEJO REGIONAL DE TRANSP Y BUEN GOBIER,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INST. SFL,480,A familias e instit sfl,48000,A familias e instit sfl,382500
02,CORTES DE CASTILLA-LA MANCHA,0201,CORTES DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111D,CONSEJO REGIONAL DE TRANSP Y BUEN GOBIER,7,TRANSFERENCIAS DE CAPITAL,78,A FAMILIAS E INSTIT. SFL,780,A familias e instit sfl,78000,A familias e instit sfl,20500
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO. NV,1,GASTOS DE PERSONAL,10,ALTOS CARGOS,100,Retr bás y ot rem alt car,10000,Retribuciones básicas,236631.01
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO. NV,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retr bás y ot rem p event,11000,Retribuciones básicas,13792.54
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO. NV,1,GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,110,Retr bás y ot rem p event,11001,Otras remuneraciones,42065.66
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO. NV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12000,Sueldos del Grupo A1 y A,87797.65
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO. NV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12001,Sueldos del Grupo A2 y B,74747.18
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO. NV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12002,Sueldos del Grupo C1 y C,17739.96
03,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,0301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,1,SERVICIOS DE CARÁCTER GENERAL,11,ALTA DIRECCIÓN DE LA COMUNIDAD AUTÓNOMA,111B,CONTROL EXTERNO DEL SECTOR PÚBLICO. NV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12003,Sueldos del Grupo C2 y D,4940.62
