#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,G. Función,Des. G. Función,Función,Des. Función,Programa,Des. Programa,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Proyecto,Des. Proyecto,Presupuesto fondos totales  2013
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,52,COMUNICACIONES,521B,DESARROLLO DE LA SOCIEDAD DE LA INFORMACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",216,Equipos para procesos de información,21600,Equipos para procesos de información,G/521B/21600,,,,,3000.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,52,COMUNICACIONES,521B,DESARROLLO DE LA SOCIEDAD DE LA INFORMACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",220,Material de oficina,22002,Material informático no inventariable,G/521B/22002,,,,,4000.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,54,"INVESTIGACIÓN CIENTÍFICA, TÉCNICA Y APLICADA",541H,INVESTIGACIÓN E INNOVACIÓN VITIVINÍCOLA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,INDEMNIZACIONES POR RAZÓN DEL SERVICIO,230,Dietas y locomoción,23000,A personal funcionario y no laboral,G/541H/23000,,,,,3000.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PRODUCCIÓN BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,54,"INVESTIGACIÓN CIENTÍFICA, TÉCNICA Y APLICADA",541H,INVESTIGACIÓN E INNOVACIÓN VITIVINÍCOLA,6,INVERSIONES REALES,60,PROYECTOS DE INVERSIÓN NUEVA,609,Inmovilizado inmaterial,60900,Gastos de investigación y desarrollo,G/541H/60900,,,IVCM/0000000005,INFRAESTRUCTURA Y PROYECTO CLAMBER,150000.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REGULACIÓN ECONÓMICA DE SECTORES PRODUCTIVOS,71,"AGRICULTURA, GANADERÍA Y PESCA",719A,"PRODUCCIÓN, COMERCIALIZACIÓN ,INDUST. VITIVINÍCOLA",1,GASTOS DE PERSONAL,10,ALTOS CARGOS,100,Retribuc básicas y otras remunerac altos cargos,10000,Retribuciones básicas,G/719A/10000,,,,,59010.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REGULACIÓN ECONÓMICA DE SECTORES PRODUCTIVOS,71,"AGRICULTURA, GANADERÍA Y PESCA",719A,"PRODUCCIÓN, COMERCIALIZACIÓN ,INDUST. VITIVINÍCOLA",1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12000,Sueldos del Grupo A1 y Grupo A,G/719A/12000,,,,,82500.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REGULACIÓN ECONÓMICA DE SECTORES PRODUCTIVOS,71,"AGRICULTURA, GANADERÍA Y PESCA",719A,"PRODUCCIÓN, COMERCIALIZACIÓN ,INDUST. VITIVINÍCOLA",1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12001,Sueldos del Grupo A2 y Grupo B,G/719A/12001,,,,,90790.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REGULACIÓN ECONÓMICA DE SECTORES PRODUCTIVOS,71,"AGRICULTURA, GANADERÍA Y PESCA",719A,"PRODUCCIÓN, COMERCIALIZACIÓN ,INDUST. VITIVINÍCOLA",1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12002,Sueldos del Grupo C1 y Grupo C,G/719A/12002,,,,,9890.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REGULACIÓN ECONÓMICA DE SECTORES PRODUCTIVOS,71,"AGRICULTURA, GANADERÍA Y PESCA",719A,"PRODUCCIÓN, COMERCIALIZACIÓN ,INDUST. VITIVINÍCOLA",1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12003,Sueldos del Grupo C2 y Grupo D,G/719A/12003,,,,,39650.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REGULACIÓN ECONÓMICA DE SECTORES PRODUCTIVOS,71,"AGRICULTURA, GANADERÍA Y PESCA",719A,"PRODUCCIÓN, COMERCIALIZACIÓN ,INDUST. VITIVINÍCOLA",1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),120,Retribuciones básicas,12008,Antigüedad,G/719A/12008,,,,,56850.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REGULACIÓN ECONÓMICA DE SECTORES PRODUCTIVOS,71,"AGRICULTURA, GANADERÍA Y PESCA",719A,"PRODUCCIÓN, COMERCIALIZACIÓN ,INDUST. VITIVINÍCOLA",1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),121,Retribuciones complementarias,12100,Complemento de destino,G/719A/12100,,,,,126920.0
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REGULACIÓN ECONÓMICA DE SECTORES PRODUCTIVOS,71,"AGRICULTURA, GANADERÍA Y PESCA",719A,"PRODUCCIÓN, COMERCIALIZACIÓN ,INDUST. VITIVINÍCOLA",1,GASTOS DE PERSONAL,12,FUNCIONARIOS(EXCEP DOCENTE Y DE INST SANITARIAS),121,Retribuciones complementarias,12101,Complementos específicos,G/719A/12101,,,,,195720.0
