#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Presupuesto 2011
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,323,Tasas en materia de agricultura y medio ambiente,32300,Tasas en materia de agricultura,I/32300,,,740000
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,323,Tasas en materia de agricultura y medio ambiente,32300,Tasas en materia de agricultura,I/32300,0000000010,IVICAM,120000
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,I/39900,,,9000
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses de cuentas bancarias,52000,Intereses de cuentas bancarias,I/52000,,,15000
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,5,INGRESOS PATRIMONIALES,55,"PRODUCTOS, CONCESIONES Y APROVECHAMIENTOS ESPECIAL",550,De concesiones administrativas,55000,De concesiones administrativas,I/55000,,,900
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82000,A personal funcionario y no laboral,I/82000,,,12220
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,50010000,INSTITUTO DE LA VID Y EL VINO DE CLM,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82001,A personal laboral,I/82001,,,12300
03,SINDICATURA DE CUENTAS,0301,SÍNDICO Y AUDITORES,03010000,SINDICO Y AUDITORES,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82000,A personal funcionario y no laboral,I/82000,,,6000
04,CONSEJO CONSULTIVO,0401,CONSEJO CONSULTIVO,04010000,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,6130
04,CONSEJO CONSULTIVO,0401,CONSEJO CONSULTIVO,04010000,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,1840
