#Sección,Denominación Sección,Órgano Gestor,Denominación Órgano Gestor,Capítulo,Denominación Capítulo,Artículo,Denominación Artículo,Concepto,Denominación Concepto,Subconcepto,Denominación Subconcepto,Derechos Reconocidos
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,323,Tasas materia agricultura,32300,Tasas materia agricultura,286258.37
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,381,De presupuesto corriente,38100,De presupuesto corriente,4548.9
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,4,TRANSFERENCIAS CORRIENTES,40,DE LA JCCM,400,De la JCCM,40009,Otras transf de la Junta,9265.33
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses cuentas bancar,52000,Intereses cuentas bancar,19825.1
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,INGRESOS PATRIMONIALES,55,"PRODUCTOS, CONCESIONES",550,Concesiones administrativ,55000,Concesiones administrativ,756.47
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82000,A personal funcionario,
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82001,A personal laboral,999.84
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,511.86
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,916.38
3,SINDICATURA DE CUENTAS,301,SÍNDICO Y AUDITORES,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82000,A personal funcionario,2357.07
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses cuentas bancar,52000,Intereses cuentas bancar,39.04
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,
5,CONSEJO ECONÓMICO Y SOCIAL,501,CONSEJO ECONÓMICO Y SOCIAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82000,A personal funcionario,1500.03
5,CONSEJO ECONÓMICO Y SOCIAL,501,CONSEJO ECONÓMICO Y SOCIAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,
5,CONSEJO ECONÓMICO Y SOCIAL,501,CONSEJO ECONÓMICO Y SOCIAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,
6,DEUDA PÚBLICA,601,DEUDA PÚBLICA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,2297261.82
6,DEUDA PÚBLICA,601,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,90,EMISIÓN DE DEUDA PÚBLICA,901,Emisión Deuda largo plazo,90100,Emisión Deuda largo plazo,67532966.89
6,DEUDA PÚBLICA,601,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,91,PRÉSTAMOS MONEDA NACIONAL,910,Préstamos recibidos a c/p,91000,Prést rec a c/p  fuera sp,378520552.36
6,DEUDA PÚBLICA,601,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,91,PRÉSTAMOS MONEDA NACIONAL,911,Préstamos recibidos a l/p,91100,Prést rec a l/p  fuera sp,78250000
11,PRESIDENCIA DE LA JUNTA,1104,CONSEJERIA DE PRESIDENCIA Y ADMINISTRACI,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39002,Multas y sanciones,0
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",30,VENTA DE BIENES,300,Venta de publicaciones,30000,Venta de publicaciones,663.57
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",30,VENTA DE BIENES,309,Venta de otros bienes,30900,Venta de otros bienes,
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",31,PRESTACIÓN DE SERVICIOS,310,Tarifas de publicidad,31000,Tarifas de publicidad,351937.27
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,322,Tasas direc e insp obras,32200,Dirección e inspec. obras,1894.1
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,329,Otras tasas,32900,Otras tasas,49849.41
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,380,De ejercicios cerrados,38000,De ejercicios cerrados,152627.93
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,381,De presupuesto corriente,38100,De presupuesto corriente,35422.92
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,18996.83
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,2531.2
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39002,Multas y sanciones,969081.27
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,35366.6
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,4,TRANSFERENCIAS CORRIENTES,41,DE OO.AA. DE LA JUNTA,410,De OO.AA. de la Junta,41000,De OO.AA. de la Junta,18366.83
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,4,TRANSFERENCIAS CORRIENTES,42,DE EE.PP. Y OTROS E. PUB.,421,De otros entes públicos,42100,De otros entes públicos,5000
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",434,De OO.AA. estatales,43400,De OO.AA. estatales,1117212
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,4,TRANSFERENCIAS CORRIENTES,47,DE EMPRESAS PRIVADAS,470,De empresas privadas,47000,De empresas privadas,94574.83
11,PRESIDENCIA DE LA JUNTA,1104,SECRETARÍA GENERAL DE LA PRESIDENCIA,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses cuentas bancar,52000,Intereses cuentas bancar,1044.06
