#Sección,Denominación Sección,Dirección General,Denominación Dirección General,Grupo de Función,Denominación Grupo de Función,Denominación Función,Función,Programa,Denominación Programa,Capítulo,Denominación Capítulo,Artículo,Denominación Artículo,Concepto,Denominación Concepto,Subconcepto,Denominación Subconcepto,Obligado
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,52,COMUNICACIONES,521B,DESAR SOCIED INFORMACIÓN,2,G BIENES CORRIEN Y SER,21,"REPARACIÓN, MANTENIMIENTO",216,Equip procesos informac,21600,Equip procesos informac,1320.1
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,52,COMUNICACIONES,521B,DESAR SOCIED INFORMACIÓN,2,G BIENES CORRIEN Y SER,22,"MATERIALES, SUMINISTROS",220,Material de oficina,22002,Material informát no inv,4254.52
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,52,COMUNICACIONES,521B,DESAR SOCIED INFORMACIÓN,2,G BIENES CORRIEN Y SER,22,"MATERIALES, SUMINISTROS",227,Trab real ot empres y pro,22782,Serv carácter informático,1139.05
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,52,COMUNICACIONES,521B,DESAR SOCIED INFORMACIÓN,6,INVERSIONES REALES,60,PROYECTOS INVERSIÓN NUEVA,606,Equip proces información,60600,Equip proces información,809.48
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,52,COMUNICACIONES,521B,DESAR SOCIED INFORMACIÓN,6,INVERSIONES REALES,61,P. INVERSIÓN REPOSICIÓN,616,Equip proces información,61600,Equip proces información,848.13
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,54,INVEST CIENTÍF TÉC Y APL,541H,INV.E INNOV. VITIVINÍCOLA,2,G BIENES CORRIEN Y SER,23,INDEMNICACIONES SERVICIO,230,Dietas y locomoción,23000,A personal funcionario,682.41
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,54,INVEST CIENTÍF TÉC Y APL,541H,INV.E INNOV. VITIVINÍCOLA,2,G BIENES CORRIEN Y SER,23,INDEMNICACIONES SERVICIO,230,Dietas y locomoción,23001,A personal laboral,164.07
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,54,INVEST CIENTÍF TÉC Y APL,541H,INV.E INNOV. VITIVINÍCOLA,4,TRANSFERENC CORRIENTES,48,A FAMILIAS E INST. SFL,480,A familias e instit sfl,48000,A familias e instit sfl,108009.19
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,54,INVEST CIENTÍF TÉC Y APL,541H,INV.E INNOV. VITIVINÍCOLA,6,INVERSIONES REALES,60,PROYECTOS INVERSIÓN NUEVA,609,Inmovilizado inmaterial,60900,Gastos de I+D,442326.15
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,5,PROD BIENES PUBL C ECONÓM,54,INVEST CIENTÍF TÉC Y APL,541H,INV.E INNOV. VITIVINÍCOLA,6,INVERSIONES REALES,60,PROYECTOS INVERSIÓN NUEVA,609,Inmovilizado inmaterial,60901,Propiedad industrial,276.54
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,10,ALTOS CARGOS,100,Retr bás y ot rem alt car,10000,Retribuciones básicas,43449.7
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12000,Sueldos del Grupo A1 y A,86449.24
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12001,Sueldos del Grupo A2 y B,109152.46
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12002,Sueldos del Grupo C1 y C,9884.84
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12003,Sueldos del Grupo C2 y D,43718.33
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12008,Antigüedad,61631.41
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12100,Complemento de destino,138650.46
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12101,Complementos específicos,240528.86
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12102,Otros complementos,11640.11
50,INSTITUTO DE LA VID Y EL VINO,5001,INSTITUTO DE LA VID Y EL VINO DE C-LM,7,REG ECON SECTORES PRODUCT,71,AGRICULT. GANADERÍA Y PES,719A,PROD COM E IND SEC VITIV,1,GASTOS DE PERSONAL,13,LABORALES (EXC INST SANI),130,Retrib bás person laboral,13002,Sueldos del grupo III,40140.52
